by,category,created,desc,goal,location,shares,title,total
,,,,,,,,
574,Animals,"Created July 8, 2018","

                        The Grizzly Bear has been delisted from the Endangered Species Act. The state of Wyoming has approved for 22 Grizzlies to be hunted from Sept 1 - Nov 15 2018.  ,Several weeks ago, an idea was formed in Jackson, Wyoming, to become official non-trophy hunt constituents within our Wyoming wildlife management of the iconic Grizzly.  It's an idea whose time has come.  On July 8,  a group of individuals met to brainstorm our groundbreaking mission's social media.  Our grassroots Shoot'em With a Camera idea was the resulting campaign, to get out in the field and hunt with a camera.,We are asking the public to apply for the Grizzly Bear hunt (with-a-camera) - Grizzly Bear Issuance List Area 1-6.  If you are chosen and meet the requirements, the funds will cover the necessary costs to participate in the field with a camera and will be delivered to you directly via our Shoot'em With a Camera bank account.,Any unused funds will be used to continue this campaign to encourage our public to get involved in the protection and preservation of our Grizzlies, and all Wyoming wildlife.,Thank you for joining this exciting grassroots movement in Wyoming's history, to value our wild grizzly for its contributions to our public landscapes!  Please donate and share the word!
                    ","
 of $50,000 goal","JACKSON, WY",3.4k,Shoot'em With A Camera,"$43,616 "
,,,,,,,,
870,Animals,"Created October 4, 2018","

                        Mia is a young pittie mix that was carelessly dumped on the side of the road in Southwest Philadelphia. She was left emaciated, dirty and scared, left to die. She barely had the energy or life in her to hold her head up. In passing, she looked deceased.  We were alerted of Mias situation, but were unable to get to her before Animal Control. Animal Control seized her and took her to their facility. We contacted Animal Control, where they agreed to release Mia into our custody, as she started vomitting and her already deteriorated condition was starting to decline. ,We rushed her to Wissahickon Creek Veterinary Clinic as she clung on to life.  once we arrived at the vet, it was quickly discovered  that Mia needed a blood transfusion ASAP.  Mia and currently at Wissahickon Vet receiving fluids and will be receiving blood soon. Further testing will be done to determine the best course of treatment to ensure she will start to gain weight in a healthy way. Mia has a very long road ahead of her. This is the worst case of starvation we have every dealt with. She will be required to stay in the hospital for several days. Please consider donating toward her care so Mia can have the second chance at life that she so very much deserves.
                    ","
 of $25,000 goal","PHILADELPHIA, PA",1.4k,Save Starved and Abused Mia,"$22,545 "
,,,,,,,,
653,Education,"Created October 13, 2018","

                        Robbie’s Hope was established to provide support to our local resources in an effort to broaden and deepen the awareness of depression and suicide prevention in our local schools.,Robbie was 15 years old and a Sophomore at Lakewood High School. He was a great student excelling in all his classes, especially Math. Robbie was at home in the pool or on the courts playing the two sports he loved deeply, Swimming and Tennis. Surrounded by his friends at meets and at matches he was full of joy. Robbie brought so much joy and happiness to those around him. The past two summers he taught young golfers through First Tee of Denver and young swimmers at Rolling Hills Country Club. Seeing his students success always brought a smile to his face and when they failed his compassion shown through and gave them hope. This past week he was talking about what he wanted to study in college and researching cars for when he got his driver’s license in January. Robbie will always be remembered for his grace, kindness to others, wit and joyful presence. He was always looking out for others and putting them before himself. ,Despite his gift of bringing love and joy to others Robbie was suffering in the darkness, battling privately with incredible pain. He succumbed to the silent illness of depression and took his own life on Thursday, October 11, 2018.,If you are suffering from depression or need support please reach out immediately to:,Jefferson Center for Mental Health: 303-425-0300 or jcmh.org,Colorado Crisis Service: 844-493-8255 or coloradocrisisservices.org,If you have a concern about others and want to get them help please call 877-542-7233 or report online at safe2tell.org.
                    ","
 of $100,000 goal","GOLDEN, CO",5.7k,Robbie's Hope,"$71,451 "
,,,,,,,,
357,Animals,"Created May 29, 2018","

                        On Monday, June 18, I ran the FIFTH annual ,. And as sole participant, I've again declared myself the winner!,I ran to raise funds for THREE special , groups:  Frankie's Feline Fund ( ,), Ready for Rescue ( ,), and Paws Crossed Animal Rescue (,).,These dedicated animal advocates pull , from the kill lists at area shelters, provide vital medical care, and place them in foster and forever homes. Between them they've saved literally hundreds of loving, wonderful special needs cats from an unnecessary end.,I dedicated this year's run to sweet, beautiful ""Clementine"" (pictured above), personally adopted from Paws Crossed.  Initially so shy, timid and withdrawn, she was returned to the shelter multiple times.  But with patience and abundant love, she's blossomed into a confident, affectionate sweetheart.  ,Following previous ""Midnight"" and ""Manhattan"" marathons, this year was a ,. I started in Greenwich, CT, ran through Westchester and upper Manhattan, and across the GWB into Ft. Lee, NJ! Total distance was 30 miles.,Abandoned at area shelters simply for being old or ill, these special needs cats deserve a chance. Please help support the tireless, good-hearted work of Ready For Rescue, Frankie's Feline Fund, and Paws Crossed with a donation, and , with others on social media!  THANK YOU.
                    ","
 of $30,000 goal","NEW YORK, NY",499,Cat Rescue Tri-State Marathon,"$30,105 "
,,,,,,,,
629,Animals,"Created June 15, 2018","

                        As the summer heat blazes, the shelter's older air conditioners/furnaces cannot keep up. We are desperately in need of donations to replace one air-conditioning unit and both furnaces for our 6,000 square foot building because the setup we have now is unable to adequately cool the building. The cost to replace all three units will cost us $15,000-20,000. We house approximately 200 pets at the facility, with many recovering from medical procedures such as spays/neuters, heartworm treatments, malnutrition and other needed procedures. Please help the animals have a comfortable place to rest while they await their forever homes. ANY amount is greatly needed and appreciated. If you cannot donate, please share! ,Donations can be made online at or can be mailed in or dropped off at 13005 Ernesti Rd. Huntley, IL 60142, ,The owner, Lesley Irwin, will be utilizing these donations for the continued care, maintenance and rescuing of more animals! ,Thank you all again for your generous donations!
                    ","
 of $20,000 goal","HUNTLEY, IL",1.4k,Air Conditioner Units Badly Needed!,"$30,035 "
,,,,,,,,
234,Animals,"Created August 20, 2018","

                        ,Out of control puppy breeding in Northern California of Northern Breed mixes has been ordered to shut down. The dogs are not being fed and will starve to death without funds to pay for food. We are in the process of finding organizations to help place these gorgeous animals to prevent them from being euthanized by the local authorities.,Many dogs are not neutered or spayed and continue to produce puppies making this situation more precarious. Currently, we have over 30 puppies that need homes with two litters on the way so most likely 40+ puppies that will need to be saved.,We need funds to pay for fixing all the animals to prevent breeding. Once fixed and assessed we will be adopting out to homes and sanctuaries. We are not charging a fee to adopt these animals however each potential adopter must fill out an application first.,The dogs are being kept in cages and pens with no ability to stop their breeding and are in unhealthy conditions. Two new litters were birthed just a few days ago and two more females are pregnant. We must get these dogs fixed. Time is of the essence, animal control is holding off on seizing and euthanizing these dogs if we can make progress by stopping the breeding, keeping them fed and finding them homes.,Please note we are requiring an application and home checks so we are currently only placing in the Western US.,It is not right for these beautiful animals to be euthanized. Over 30 amazing puppies need a home and if you are considering adopting a pet, this is a great time to reach out a hand in saving a life. ,Currently, feeding approximately 90 dogs to keep them alive costs $200 a day. Your donation goes to feeding these dogs as well as getting them fixed to prevent further breeding amongst their population. We need to get health certifications which a very kind vet specialist has offered to do for all the dogs for $20/each. This certificate of health makes it possible for us to get these little loves placed in homes or sanctuaries. ,It is urgent that we get the funds to complete our goal as soon as possible because this is a very time sensitive issue at hand. Animal control is trying to euthanize all these animals and the sooner we can get them fixed and a health certificate the sooner we can get all these dogs into homes and sanctuaries. ,Any amount helps and is greatly appreciated. As members of a community sometimes it is necessary to come together and clean up the mess of others and at this time these dogs are in dire need of our help. For those who have ever felt that amazing connection with a dog, consider donating to help bring these pups the lives they deserve. ,All proceeds will go directly to pay for the following: 1) food purchases 2) Fixing over 70 adults 3) Health certification for each dog so they may be placed 4) Vet services 5) Transportation 6) other miscellaneous expenses directly related to a rescue effort. No funds will be given directly to the organization we are rescuing these animals from. All fees will be paid directly to vendors and Plan B to Save Wolves is reviewing all expenses and approving payment.,Who we are:  Plan B to Save Wolves is a designated 501c3 overseeing the administration of funds for the project as per the paragraph above (,). We are located in Sedona, AZ. Funds will NOT be given to the organization directly.  E.g. veterinarians will be paid directly. David Scharps, located in Los Angeles, CA, is a private individual who became involved because he has the desire to try and save these animals, the time and the means as he has donated personally to this effort. Susan Weidel of W.O.L.F. (located in Colorado) is helping to facilitate the adoptions and placement along with several other sanctuaries across the country. ,Please note, because the funds are being distributed directly to a nonprofit all donations are now tax deductible. Please contact Betsy at the email below if you require additional documentation for your tax professional.,None of the parties involved have any relationship with this organization or its owner prior to this rescue effort. Many have been trying to resolve this situation and we are simply offering our resources to continue the effort and achieve some sort of success and save these animals.,If anyone has a question please contact Betsy at ,With the utmost gratitude,,Rescue team
                    ","
 of $40,000 goal","RAVENDALE, CA",2.6k,STOP 161 Dogs from being euthanized,"$22,428 "
,,,,,,,,
233,Animals,"Created August 8, 2018","

                        ****It’s is with a heavy heart I update this page. Con passed away at 6:10am this morning. I would like to thank everyone that has donated already. We are half way to our goal. So please keep sharing. And keep Con and his family in your prayers ****,This is a campaign set up on behalf of Conal McKee’s family for the medical expenses and bills during his stay in Florida. As many of you have already heard Conal is currently in a coma in West Boca Medical Centre in Florida since Friday August 3rd. ,As you can imagine this completely unexpected situation has involved mounting medial bills and traveling costs from Ireland. ,Everyone that knows Con knows him to have a smile because every time he met you he was always laughing about something! Never one to have a bad word to say this warmness always drew people to him. Having recently moved down to Florida to set up a life with his son 7 month old son Danny and girlfriend Kata. ,During this difficult time, we are asking everyone that knew him and loved him to help out with donations to assist in covering growing medical bills and expenses. We are confident that in time and with consistent treatment Conal will return to the same goofy, happy, and hilarious friend we all love.,During the next few days we will be announcing a fundraiser but until then please keep Conal in your thoughts and prayers.
                    ","
 of $20,000 goal","WOODSIDE, NY",850,Conal McKee,"$22,989 "
,,,,,,,,
195,Education,"Created August 30, 2018","

                        After two years of fighting, our dear Farshad lost his battle against glioblastoma and has left us too soon. He leaves behind his loving wife Mimi, who is currently fighting her own battle with cancer and mourning the loss of her partner in life. Their dream was to build a life and a bright future for their two beautiful children who are now mourning their father while praying for their mom to win her battle. We ask that in lieu of flowers and other gifts for the family, please make a generous contribution to Bobak and Neeki’s Educational Fund managed by their uncle, Mohammad Kazemi, to help make Farshad and Mimi’s dream for their kids come true.
                    ","
 of $100,000 goal","IRVINE, CA",903,Bobak and Neeki Education Fund,"$68,028 "
,,,,,,,,
374,Animals,"Created October 11, 2018","

                        Chi Chi is a 4 year old female Golden Retriever that was rescued in South Korea after being found in a trash bag with her legs bound. In order to save her life, portions of all four of her legs had to be amputated. She now lives in the USA, is able to walk, run and play when wearing her custom prosthetics and is a certified Therapy Dog.,Chi Chi has faced far too many medical issues for one dog during her short life. , The past several months have been very difficult medically for Chi Chi and have resulted in our family seeking care from a variety of specialists in order to provide her the best care possible. Our family and the team of veterinarians helping to care for Chi Chi are focused on giving her the best life possible. She remains happy and smiling and we are committed to providing her the best care possible as long as she continues to fight and maintain her incredible will to live, despite the challenges she faces every day. ,Chi Chi has experienced significant inflammation in her brain since mid-August, resulting in ongoing neurological care, 2 MRI’s, bloodwork, medication and regular Hyperbaric Oxygen Treatments in order to manage the post radiation necrosis and edema in her brain. She had her first seizure on 10/11/18 and started new medication and treatment to help control and minimize the seizures.,She had another Mast Cell Tumor removed in September and also spent 2 days in the emergency vet for gastroenteritis and elevated liver enzymes. Chi Chi has lost all vision in her right eye and has been experiencing other vision issues requiring the ongoing care of an ophthalmologist. ,Chi Chi has ongoing challenges associated with her amputations and receives regular cold laser therapy to promote blood flow and healing in her limbs and needs medications and treatments to manage the sores she develops from wearing her prosthetics. ,Chi Chi has an integrated treatment plan that includes both traditional and holistic treatments. She has an internal medicine veterinarian that helps manage her overall treatment plan. Chi Chi takes a number of traditional and Chinese medications to manage her medical conditions. ,We are grateful for everyone who is able to donate to help with Chi Chi’s medical costs. , Chi Chi and our family wouldn’t want anyone to be in a financial hardship because of donating to help with her medical care.
                    ","
 of $25,000 goal","PHOENIX, AZ",279,Chi Chi's Recent Medical Expenses,"$18,078 "
,,,,,,,,
123,Animals,"Created August 20, 2018","

                        , ,   On August 31st, ,  has to leave the place we've called home for the last 13 years.  And while we're grateful for the time we've spent across from the Menlo Park train station, we're a little worried too.  The truth is we struggle everyday to keep our costs down so that we can pay a living wage to our employees and a Silicon Valley rent while still helping all the dogs and cats in our community who need the transformative benefits of physical rehabilitation therapy.   , ,   With your donation, we can ensure that Scout's House can avoid laying off Krista and Andrea while we get our new space ready, that we'll have the money to pay our contractor to modify the new site for our hydrotreadmill, and that we'll have enough left over to get us through while we rebuild our business.  ,   As a Scout's House client or friend, you understand the difference we've made in the lives of the 3000+ elderly, injured, and ill dogs and cats we've treated since we opened in 2005.  Family pets like your own, K9 Unit dogs from local law enforcement agencies, assistance dogs, and pets from local shelters have all sought--and received--help and relief from Scout's House over the last 13 years.  And while you've supported us in the past by trusting us to help your pet, we're hoping you can support us again as we make the transition from Menlo Park to San Mateo.  ,   Please give what you can.  Please share this with your friends.  And please let everyone know that Scout's House is a place worth saving.  ,Thank you, with love and gratitude from Lisa--and Scout,
                    ","
 of $15,000 goal","MENLO PARK, CA",249,Help Scout's House Help More Pets,"$19,833 "
,,,,,,,,
337,Animals,"Created August 27, 2018","

                        ,My name is Samantha, and I recently lost the love of my life, my French Bulldog, Henri.  (Instagram's , ),Henri was my soulmate, my little hero, my inspiration, my constant joy, and my baby boy.,I am raising money to prevent what happened from ever happening again to another fur baby or parent. ,Henri (aka Henri Le Frenchie) died August 2nd, while under the care of the California Veterinary Specialists in Carlsbad, California. I was told by the vet, Dr. Polansky, that Henri died because he had apparently had a stroke and stopped breathing on his own. ,Later I decided to have an autopsy performed by an outside doctor. This doctor informed me that Henri's brain showed no evidence of any stroke and that the cause of his death was pneumothorax from an improperly placed feeding tube that punctured his lung. She said that a hole had been made in Henri's lungs, and that the air had escaped his lungs and filled his chest cavity until his lungs collapsed. She also said there was a procedure that could have rectified this, but the autopsy showed no evidence of it ever being done. She also had a time stamped radiograph showing the feeding tube inside Henri. ,Dr. Polansky had told me that no feeding tube had ever been used. ,Since then I have been told by multiple sources that Dr. Polansky allegedly has a history of making fatal mistakes and lying to the pet parents. And I've been told he allegedly makes those working below him lie as well. ,My heart is beyond shattered. I lost the most precious being in my life. Henri was the sweetest, kindest soul I have ever known. I can't bring Henri back. He is gone forever and my world will never be the same. I will miss him forever. ,I don't ever want this to ever happen to another animal or pet parent again. It shouldn't have happened to Henri. And I wish someone had stood up before I ever took him to that vet. ,I am going to be that person. I am going to stand up. I can't save Henri. But I can try to stop this from happening to future pets and pet parents. I can be the person I wished for, for someone else.,I am asking for your help to raise legal fees. This will be a difficult case against a powerful, multi-location company. Further, under California Law, pets are only regarded as property. I think it is wrong. To me, and I think most people who have loved a pet, pets are family. When pets are seen only as property, it encourages them to be treated as such. It allows them to be hurt without any real consequences. And I want to fight this. Everyone on Instagram encouraged Henri to Fight Like a Frenchie. And he did. So hard. He was such a survivor. But he couldn't fight against having his lung punctured. Now I have to Fight Like a Frenchie Mom.  Nothing will bring Henri back. Nothing will make what happened to him ok. But if I can stop this from happening to others, then I will always regret it if I don't try.,I have been given estimations of legal costs that are staggeringly higher than what I have set as my current goal, but I don't want to discourage people, so it is my starting point. Anything that is not used I will donate to animal charities, including those working to change the laws and have animals elevated above the legal status of ""property."" Henri was not property. He deserved better. All animals deserve better. ,Thank you so much for your help. Please spread the word and share my story. And please hug your fur babies tight. ,With Love,,Samantha, aka Henri's mommy,For more information and pictures of Henri, feel free to visit his Instagram account: , ,I love you, Henri. I will love you forever. ,Thank you for making me the luckiest mommy in the whole world. You will forever be my baby boy.,The final two photos above are a few of my last photos ever taken with Henri. Henri purring in my arms, his wonderful hug, and his precious little face. These photos were taken at the California Veterinary Specialists, where soon after Henri would die.
                    ","
 of $50,000 goal","SOLANA BEACH, CA",415,Henri Le Frenchie Legal Fund,"$19,727 "
,,,,,,,,
210,Business,"Created July 29, 2018","

                        

,


,
                    ","
 of $28,400 goal","LOUISVILLE, CO",466,Help save APEX Louisville,"$28,520 "
,,,,,,,,
291,Animals,"Created June 27, 2018","

                        Hello Cats’ Inn family, ,We have some exciting news to share!! With the overwhelming demand, thanks to all of you and your recommendations, we have made the decision to expand into a larger space. We have secured the purrfect building for the new location for The Cats’ Inn – TCI 2.0.   We will be staying in Belmont, across the street, closer to the train station and just a minute from our current facility. We are diligently working on renovations for the new building and expect to move into the new Cats’ Inn sometime later this year – probably in early November, if all goes well with construction. ,We will have many more of the most popular suites available; Villas and Cottages, with lots of windows and sunlight for the kitties to look out from their upgraded suites. We will also have larger, all glass playrooms with many more themes and amenities and climbing activities, including sunbathing hammocks for the kitties to lounge in.  We intend to make it the most amazing cattery the Bay Area has to offer! The new facility will be 3400 sq. ft of pure cat Disneyland heaven!,We also plan be adopting two senior house cats from SPCA or Nine Lives, that would otherwise not find a furrrever home, so they can welcome new and current guests, and have so many more feline and human friends shower them with love and affection ,Unfortunately, though we have hit a hiccup in the budgeting and available funds from the bank - even after all of our very detailed planning, we have been informed by the city of Belmont that we are required to install a new indoor fire sprinkler system for the new facility. Regretfully, this falls way outside our budgeted loan amount (as this was told after we were funded) and the bank is unwilling to grant us a loan extension at this point. We want to create every magnificent detail that we have planned for all of our feline friends and make it an even bigger kitty wonderland than we have now, but this is a show stopper since we cannot open doors without the new sprinkler system.,After trying to re-work, the budget, we have come to the conclusion that we have no other choice but to ask for your help. So, we are humbly asking for your help to supplement the budget needed for the sprinkler system. If you can find it in your heart to donate any amount of $$ to our cause, we would be eternally grateful for your generosity. ,Very warmly,,Your Cats’ Inn Family
                    ","
 of $65,000 goal","BELMONT, CA",102,The Cats' Inn fire sprinkler system,"$17,670 "
,,,,,,,,
621,Animals,"Created June 13, 2018","

                        Copper is a 4 year old Doberman who is a registered service and emotional support dog.  He began limping slightly in Dec 2017. It has recently flared up and there are times he struggles to walk. They believe it is Wobblers disease which affects the spine and discs but the only true way to tell is with an MRI as well as xrays.   He may look like a scary type of dog but he has a heart of gold. We got him when he was just a puppy and he's been blessing our family ever since. My 10 year old son is diagnosed with PTSD, anxiety, ADHD, chronic headache disorder, and had nocturnal seizures as a result of uncontrolled anxiety. When we got Copper we expected nothing more than a pet but he became so much more. In 2016 my son was having issues and seeing specialists trying to figure out fatigue, aches, night terrors, headaches, and incontinence along with uncontrolled Behavior.  He had sleep studies, various medications as well as  testing and diet changes to no avail .  One evening Copper begin barking at the door  almost insisting I go inside his room .  It was then I witnessed my son having a seizure, he was 8 years old and I was terrified .  Nothing had shown up on any of his studies or neurological reports as nocturnal seizures are the hardest to diagnose . It happened again a few weeks later and I was able to catch it on camera to show the neurologist and get my son on the proper medication .  He is completely managed for seizures at this time thanks  to our protector  and faithful companion . My son still suffers severe anxiety as result of continued bullying and ptsd and the dog can sense when an anxiety attack is coming .  Typically he is able to  push his body against my son  almost like a weighted blanket or lay on top of him and relieve the anxiety symptoms .  Due to the crushing diagnosis of possible wobblers disease that affects a significant amount of Dobermans, he is unable to fully do his job . We need an MRI  to determine the best course of treatment for him  but the test is very expensive . I'm a single mom working hard to take care of my children and Copper is my best piece of mind for my son .  I hate asking for help  but my son needs the dog more than I need my pride . If you can see  fit to donate anything it will all be greatly appreciated and go towards the cost of his treatment and MRI. Anything above and beyond what we need will be donated to another organization to help another animal in need .  Thank you for reading our story *we increased our goal due to the cost quoted to us of the MRI ($2800-3200) which does not include therapy.,
                    ","
 of $2,800 goal","FAIRPORT, NY",581,Funds for Copper's MRI/treatment,"$18,689 "
,,,,,,,,
250,Animals,"Created July 7, 2018","

                        ,We are the Santa Barbara Wildlife Care Network. Last night we got the news that a fire had broken out a block from ourWildlife Care Center.  Immediately, our staff and volunteers jumped to action and raced to the center.,- Almost every animal at our center was saved: , animals are safely in care.,- The center still stands, but has been scorched around the edges. We have lost trees, vegetation, and there is quite a bit of , and ,- We are currently housing and caring for all our non-pelagic birds in a room of the Santa Barbara Humane Society. ,- A few of our volunteers risked their lives to save the animals in our care. Without these amazing people, many lives would have been lost.,We need , to provide for the following:,- ,- , to provide power to the center,- The center's,, which will be high as we clean the property of  burnt plastic and ash, and empty and refill sea bird ponds,- , and manpower to make the center habitable again,- Replanting of vegetation at the Center,- Increased staff hours due to the emergency and rebuilding effort, Thank you for caring about wildlife in this trying time. Please spread the word! ,We must be prepared for whatever comes our way -- please help us stay resilient and responsive to the needs of wildlife.
                    ","
 of $20,000 goal","GOLETA, CA",720,Holiday Fire Wildlife Relief,"$20,813 "
,,,,,,,,
316,Business,"Created May 19, 2018","

                        
,
                    ","
 of $60,000 goal","ANN ARBOR, MI",497,WAAM Radio FM Transmitter,"$36,605 "
,,,,,,,,
201,Business,"Created August 31, 2018","

                        Sometime in April/May of this year, the thieves came and stole most of our good producing layer chickens (500-600).  This happened quickly, yet so insidiously, we are still in half shock and half denial.,""How could we not have seen this?""  Apparently, we were not the only farm that was targeted, but ""free range"" chickens with no closed gates and padlocks were obviously easy targets for an experienced group of thieves to come in the middle of the night, and grab them 50-100 at a time.  By the time we realized that our egg production was down drastically (systematically in increments of 50-100 eggs), the damage was done.  In all 20 years of raising chickens, this has never happened.  We are used to losing some to eagles or coyotes, but this one, done by humans, was stealthy and lethal.  We talked to one other farmer, whose 200 broilers got stolen right out of his field.  He thinks they come in a group with large garbage cans in a truck, grab them  in a matter of minutes (they are defenseless at night on the perch) and are killed quickly and sold at an underground soup chicken market.  He thinks he even saw a post of his chickens on Craig's list!  The police have a suspect (yes even the name), but so far he is still at large for lack of evidence.  With so many other problems in the area, I  doubt our egg thief is high on their list.,Of course they stole the young ones that just started to lay eggs, which took us 6 months of feed to get to that stage.  My book keeper estimates the loss of revenue through October is anywhere from $35,000 to $45,000 without including what it took to raise them.,This hit us in the busiest hay season, working from dawn to dark, we really didn't have time to re-act, or even feel angry; we just felt defeated and heart broken  Now at the end of August, we are finally slowing down enough to analyze the damage and re-group our chicken program.  The loss was big, and we seriously thought about quitting eggs all together.  Then we thought about all of our customers who came faithfully to buy our eggs and stand in line to do so.  Right. We can't quit.,So here is our plan:  We are moving 2 of our houses closer to our store, building/repairing parameter fences, installing motion sensor lights, putting pad locks on the gates, and looking into installing a security camera system.  We have purchased 500 chicks to replace the stolen ones, which will hopefully begin laying in late October, early November.,It's difficult to come up with funds to rebuild the flock and put in security system when we are already experiencing a large loss of revenue.  So, encouraged by many customers' suggestions, we are asking for some financial assistance to come up with the funds needed to rebuild our flock.  We have never done this, so we really don't know what to expect, but we will be grateful with whatever the amount you can help us with.,Thank you.,Est. Replacement Cost (does not include the actual revenue loss),Chicks (500)                                                       $ 1,400,Feed (until laying-6 months)                    $18,000,Security system                                               $ 1,500,Labor (feeding only)                                      $ 6,000,Total cost until production                     $27,900,Now an Empty chicken house,1 of 2 houses moving closer to the house,Close to houses (dogs).  Now repairing fences, put in fence post for new padlocks, leveling the ground.,What do we need to keep you girls safe??,
                    ","
 of $27,900 goal","SEDRO WOOLLEY, WA",768,Stolen Egg -Chicken Recovery Fund,"$25,550 "
,,,,,,,,
202,Business,"Created October 17, 2018","

                        Update: 10/22/18,Tracey and I express our deepest gratitude for all the warm wishes, photos, stories and contributions we have seen over the last week.,Know that we are as heartbroken as all of you, and this is not what we wanted for our special company and its employees.  We appreciate all the generosity and love that has been shown to us during this difficult time.  As mentioned here, these funds will be used to pay our loyal vendors balances owed to them – in hopes that there may be a way, with help, that we can re-boot the brand.  Funds not used to pay vendors, or toward a re-boot will go to charity.  Thank you all for your kindness.,--------,To our loyal and wonderful friends and customers:,As you know we have had to close our business after 14 years of providing cats with the best food we could possibly make.  We are incredibly grateful for the outpouring of support and love from everyone.,Many of you have asked us to start a funding page to help fund our re-boot.  We are so humbled by the encouragement.  We have decided to do this but need to let all of you know what this fundraiser is for.,Over the 14 years we have been in business, we have had many wonderful vendors and suppliers and distributors who have supported us along the way.  This closure of our business has left us with a need to pay our vendors.  Any funds raised on this site will go first to pay them.  ,If there are funds left over, we will use them to help re-boot this brand, either with an investor partner or on our own – in whatever form that may take.  If by chance we are unable to re-boot in any form, any excess funds will be donated to various charities we have supported during our time in this business.,Please accept our gratitude for any contribution you make – we will be forever grateful.  We are not asking anyone to donate.  If you choose to for the purpose stated here, we are so very thankful.  ,Please continue to support raw food – and as always – Feed your Felines like the carnivores they are!®,You can read more of our story at , or on facebook at ,With deepest gratitude - Janice and Tracey
                    ","
 of $1.2M goal","PORTLAND, OR",1.2k,How to help Rad Cat after closure,"$17,135 "
,,,,,,,,
105,Business,"Created July 2, 2018","

                        Help Save BYWS!,Thank you for helping us reach over half of our goal within 22 days! We now need to raise $11, 000 to keep our studio open. Your contributions will allow Nally Berg  (Teacher, Student & Yoga Advisor) to purchase the studio, renew the lease (which expires in August 2018) and keep BYWS running.  Your donations will not only help to shape and secure the future of our yoga community, but also support Nally in making this transition as seamless as possible. ,Every donation makes a difference. Let's keep Bikram yoga in West Seattle!  We can do this!
                    ","
 of $25,000 goal","SEATTLE, WA",156,SAVE BYWS,"$25,200 "
,,,,,,,,
